TEAM,POS,FPTS ALLOWED,PTS,REB,AST,STL,BLK,TO,3PM,FG%,FT%
SAS,PG,27.1,14.1,3.2,4.1,1.0,0.3,1.6,1.8,49.6,81.7
GSW,PG,26.8,13.2,3.5,4.4,1.0,0.3,1.6,1.6,44.9,81.1
MIN,PG,26.2,13.5,3.4,4.2,0.9,0.2,1.9,1.7,44.4,80.9
SAC,PG,26.2,13.7,3.2,4.0,1.0,0.2,1.8,1.6,46.6,85.3
ATL,C,26.1,11.6,7.1,1.8,0.7,0.9,1.4,0.6,59.4,77.6
OKC,PG,25.6,12.9,3.3,4.1,0.9,0.3,2.0,1.6,43.2,85.1
CHA,C,25.6,10.7,6.8,1.9,0.6,1.1,1.3,0.6,53.6,73.3
DET,PG,25.5,12.8,3.0,4.2,0.9,0.3,1.4,1.4,45.3,82.1
LAL,PG,25.5,13.1,3.0,4.1,0.9,0.3,1.6,1.5,45.1,79.9
DEN,PG,25.4,13.0,2.9,4.6,0.6,0.2,1.6,1.5,45.0,83.9
IND,PG,25.4,13.1,3.0,3.9,0.9,0.3,1.6,1.7,42.3,86.3
TOR,PG,25.4,12.8,3.3,4.4,0.9,0.3,2.2,1.5,46.0,82.5
CHA,PG,25.4,13.1,3.2,4.1,0.7,0.3,1.9,1.7,46.7,83.0
HOU,PG,25.3,12.4,2.7,4.3,1.1,0.3,1.5,1.8,43.2,81.3
BKN,PG,25.3,12.5,3.3,4.0,1.1,0.2,1.6,1.6,42.3,83.9
ORL,PG,25.1,12.5,2.8,4.4,1.0,0.3,1.8,1.4,43.8,84.2
GSW,C,25.0,11.4,6.7,1.9,0.6,0.7,1.7,0.6,54.1,72.4
NYK,PG,24.9,12.2,3.3,4.0,0.7,0.4,1.5,1.5,42.2,81.0
SAS,C,24.8,11.0,6.4,2.0,0.5,0.9,1.4,0.5,57.7,71.0
CHI,SG,24.7,12.9,3.6,3.2,0.7,0.4,1.6,1.9,45.5,79.5
IND,C,24.6,10.6,6.9,1.8,0.6,0.8,1.4,0.5,55.6,75.0
LAC,PG,24.6,11.8,3.1,4.0,1.0,0.3,1.4,1.6,42.8,82.1
CHI,PG,24.6,12.3,3.2,4.0,0.8,0.4,1.8,1.6,44.1,83.8
BKN,SG,24.5,13.5,3.1,2.9,0.8,0.4,1.4,2.2,44.7,80.4
PHX,C,24.4,10.5,6.7,2.0,0.7,0.7,1.5,0.5,56.4,78.6
MIA,SG,24.4,12.9,3.5,3.2,0.8,0.3,1.8,2.0,44.9,78.5
MIL,PG,24.4,12.9,3.2,3.5,0.8,0.3,1.3,1.5,44.8,81.6
CHI,PF,24.4,11.4,5.5,2.2,0.6,0.6,1.1,1.4,48.4,77.8
OKC,C,24.3,10.3,6.8,1.8,0.5,0.9,1.5,0.5,57.2,72.8
NOP,PG,24.2,11.8,2.8,4.3,0.8,0.3,1.8,1.5,43.6,79.7
ATL,PF,24.2,11.6,5.4,2.0,0.6,0.7,1.2,1.1,46.8,85.5
DET,C,24.1,10.3,6.7,1.6,0.5,1.0,1.3,0.5,57.9,72.2
GSW,SG,24.0,12.7,3.3,3.1,0.9,0.3,1.4,1.8,43.7,81.3
WAS,PG,24.0,12.1,3.1,3.7,0.9,0.3,1.5,1.4,43.3,81.9
ATL,PG,23.9,11.3,3.3,4.2,0.9,0.3,1.7,1.2,42.8,81.9
OKC,PF,23.9,11.5,5.4,1.7,0.7,0.8,1.4,1.2,47.8,77.6
LAL,C,23.8,10.0,6.4,2.0,0.6,0.8,1.1,0.5,58.1,68.1
UTA,SG,23.8,13.5,3.3,2.5,0.8,0.3,1.4,1.7,44.9,84.0
IND,PF,23.7,11.1,5.4,2.1,0.7,0.6,1.4,1.2,48.5,77.2
UTA,PG,23.7,12.6,3.0,3.5,0.8,0.3,1.6,1.5,45.5,80.9
POR,PG,23.7,11.7,3.0,4.1,0.7,0.2,1.6,1.4,43.4,83.1
