TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
POR Trail Blazers,+9,O 232,+310,−110,−110
PHI 76ers,-9,U 232,−380,−110,−110
ATL Hawks,-1.5,O 238,−120,−110,−110
WAS Wizards,+1.5,U 238,+100,−110,−110
DEN Nuggets,-12.5,O 236,−750,−110,−110
SA Spurs,+12.5,U 236,+550,−110,−110
BKN Nets,+4.5,O 227,+155,−110,−110
MIN Timberwolves,-4.5,U 227,−180,−110,−110
CLE Cavaliers,-1.5,O 215.5,−120,−110,−110
MIA Heat,+1.5,U 215.5,+100,−110,−110
TOR Raptors,-2,O 224.5,−130,−110,−110
LA Lakers,+2,U 224.5,+110,−110,−110
