TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds
ATL Hawks,+13,O 228.5−110,+625,−110
BOS Celtics,-13,U 228.5−110,−900,−110
MIN Timberwolves,+9.5,O 220.5−110,+380,−110
DEN Nuggets,-9.5,U 220.5−110,−475,−110
LA Clippers,+12.5,O 224−110,+575,−110
PHO Suns,-12.5,U 224−110,−800,−110
