TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
HOU Rockets,+13.5,O 239.5,+700,−110,−115
IND Pacers,-13.5,U 239.5,−1200,−120,−115
UTA Jazz,+3.5,O 230.5,+120,−125,−115
ORL Magic,-3.5,U 230.5,−150,−105,−115
CHA Hornets,-9.5,O 224.5,−425,−105,−120
DET Pistons,+9.5,U 224.5,+320,−125,−110
GS Warriors,+2.5,O 244.5,+110,−110,−115
MEM Grizzlies,-2.5,U 244.5,−140,−120,−115
BKN Nets,+9.5,O 233.5,+360,−110,−110
MIL Bucks,-9.5,U 233.5,−450,−110,−110
NY Knicks,+2.5,O 239.5,+120,−110,−115
SAC Kings,-2.5,U 239.5,−140,−110,−105
