TOMORROW,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
LA Lakers,-1,,−120,−115,
IND Pacers,+1,,+100,−105,
MEM Grizzlies,+4.5,,+160,−110,
CLE Cavaliers,-4.5,,−190,−110,
MIA Heat,-1.5,O 213,−120,−105,−110
NY Knicks,+1.5,U 213,+100,−115,−110
CHA Hornets,+6.5,O 236.5,+210,−110,−105
CHI Bulls,-6.5,U 236.5,−250,−110,−115
NO Pelicans,+4.5,O 225,+170,−110,−110
DAL Mavericks,-4.5,U 225,−200,−110,−110
GS Warriors,+10.5,,+430,−110,
DEN Nuggets,-10.5,,−560,−110,
LA Clippers,+4.5,O 231.5,+160,−110,−110
MIL Bucks,-4.5,U 231.5,−190,−110,−110
