TOMORROW,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
CHI Bulls,-6.5,O 236.5,−265,−110,−110
DET Pistons,+6.5,U 236.5,+225,−110,−110
GS Warriors,+6.5,,+215,−110,
BOS Celtics,-6.5,,−255,−110,
TOR Raptors,-3.5,,−165,−110,
MIN Timberwolves,+3.5,,+140,−110,
PHI 76ers,-2,O 233.5,−130,−110,−110
POR Trail Blazers,+2,U 233.5,+110,−110,−110
BKN Nets,-1,,−115,−110,
PHO Suns,+1,,−105,−110,
