,team1,team2,time,opening_spread_t1,opening_spread_t2,current_spread_t1,current_spread_t2,opening_moneyline_t1,opening_moneyline_t2,current_moneyline_t1,current_moneyline_t2
0,Brooklyn,Denver,12:30:00,+8,-8,+9,-9,+270,-385,+305,-375
1,Cleveland,Charlotte,14:00:00,-8,+8,-8,+8,-385,+270,-330,+275
2,Washington,Philadelphia,15:00:00,+7.5,-7.5,+7.5,-7.5,+250,-357,+250,-300
3,Portland,New Orleans,16:00:00,+3,-3,-1,+1,+138,-148,-113,-107
4,Oklahoma City,San Antonio,16:00:00,-4,+4,-3,+3,-170,+150,-150,+130
