TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
CHI Bulls,-1.5,O 234.5,−125,−110,−110
IND Pacers,+1.5,U 234.5,+105,−110,−110
BOS Celtics,+4.5,O 216,+155,−105,−110
MIA Heat,-4.5,U 216,−180,−115,−110
CLE Cavaliers,-3.5,O 221,−165,−110,−110
NY Knicks,+3.5,U 221,+140,−110,−110
DEN Nuggets,-1,O 230,−115,−110,−115
NO Pelicans,+1,U 230,−105,−110,−105
WAS Wizards,+7,O 226,+220,−115,−110
DAL Mavericks,-7,U 226,−260,−105,−110
CHA Hornets,+6.5,O 226.5,+210,−110,−110
PHO Suns,-6.5,U 226.5,−250,−110,−110
LA Clippers,-5,O 230,−195,−110,−110
LA Lakers,+5,U 230,+165,−110,−110
