,team1,team2,time,opening_spread_t1,opening_spread_t2,current_spread_t1,current_spread_t2,opening_moneyline_t1,opening_moneyline_t2,current_moneyline_t1,current_moneyline_t2
0,Brooklyn,Philadelphia,10:00:00,+8.5,-8.5,+8.5,-8.5,+280,-360,+320,-400
1,Atlanta,Boston,12:30:00,+8,-8,+10,-10,+288,-378,+405,-510
2,Live New York,Cleveland,15:00:00,+6,-6,+5,-5,+205,-245,+175,-205
