TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds
ATL Hawks,+10.5,O 230.5−110,+410,−110
BOS Celtics,-10.5,U 230.5−110,−520,−110
NY Knicks,+5.5,O 214−110,+200,−110
CLE Cavaliers,-5.5,U 214−110,−240,−110
LA Clippers,+8.5,O 225.5−110,+285,−110
PHO Suns,-8.5,U 225.5−110,−345,−110
