TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
HOU Rockets,+14,O 228,+700,−110,−110
CLE Cavaliers,-14,U 228,−1050,−110,−110
SA Spurs,+16,O 233,+900,−110,−110
BOS Celtics,-16,U 233,−1500,−110,−110
WAS Wizards,+9.5,O 221,+350,−110,−110
TOR Raptors,-9.5,U 221,−435,−110,−110
MEM Grizzlies,-2,O 247,−130,−110,−110
ATL Hawks,+2,U 247,+110,−110,−110
BKN Nets,+1,O 225.5,−105,−115,−110
ORL Magic,-1,U 225.5,−115,−105,−110
OKC Thunder,-10,O 232,−490,−110,−110
POR Trail Blazers,+10,U 232,+390,−110,−110
MIN Timberwolves,+6.5,O 239.5,+220,−105,−110
GS Warriors,-6.5,U 239.5,−260,−115,−110
