TEAM,POS,FPTS ALLOWED,PTS,REB,AST,STL,BLK,TO,3PM,FG%,FT%
SAS,PG,27.0,14.1,3.1,4.0,1.0,0.3,1.6,1.8,49.4,82.0
GSW,PG,27.0,13.3,3.5,4.4,1.0,0.3,1.7,1.6,44.4,80.7
MIN,PG,26.5,13.6,3.4,4.3,0.9,0.2,1.9,1.7,44.5,81.3
ATL,C,26.4,11.8,7.1,1.8,0.7,0.9,1.4,0.6,59.4,77.6
SAC,PG,26.2,13.8,3.1,4.0,1.0,0.2,1.8,1.6,47.1,85.1
CHA,C,25.6,10.7,6.8,1.9,0.6,1.1,1.3,0.6,53.6,73.3
LAL,PG,25.6,13.2,3.0,4.1,0.9,0.3,1.6,1.5,44.9,79.8
OKC,PG,25.5,12.9,3.3,4.0,0.9,0.3,2.0,1.6,43.3,84.2
TOR,PG,25.5,12.9,3.2,4.4,0.9,0.3,2.2,1.5,46.1,82.8
BKN,PG,25.4,12.6,3.3,4.0,1.0,0.2,1.6,1.6,42.4,84.2
CHA,PG,25.4,13.1,3.2,4.1,0.7,0.3,1.9,1.7,46.7,83.0
HOU,PG,25.3,12.4,2.7,4.3,1.1,0.3,1.5,1.8,43.2,81.3
DEN,PG,25.3,13.0,2.9,4.6,0.6,0.2,1.7,1.5,45.3,84.1
IND,PG,25.1,12.9,3.0,3.9,0.9,0.3,1.6,1.7,42.2,86.3
ORL,PG,25.1,12.6,2.8,4.4,1.0,0.3,1.8,1.5,43.4,84.5
DET,PG,25.1,12.5,3.0,4.1,0.9,0.3,1.3,1.4,45.5,82.2
GSW,C,24.9,11.3,6.6,1.8,0.6,0.8,1.6,0.6,54.4,72.6
SAS,C,24.9,11.0,6.5,2.0,0.5,0.8,1.4,0.5,57.7,70.6
NYK,PG,24.9,12.3,3.3,4.1,0.7,0.4,1.4,1.5,42.5,81.5
CHI,SG,24.6,12.8,3.6,3.2,0.7,0.4,1.6,1.9,45.6,79.8
BKN,SG,24.6,13.7,3.1,2.9,0.8,0.3,1.4,2.2,44.8,79.9
OKC,C,24.6,10.4,6.9,1.9,0.5,0.9,1.6,0.5,57.2,73.5
LAC,PG,24.6,11.7,3.1,4.1,1.0,0.3,1.4,1.6,42.9,81.9
CHI,PG,24.6,12.2,3.2,4.0,0.8,0.4,1.8,1.6,43.7,83.8
CHI,PF,24.5,11.5,5.5,2.2,0.6,0.6,1.1,1.4,48.0,77.7
IND,C,24.5,10.5,6.8,1.8,0.7,0.8,1.4,0.5,55.6,74.6
MIL,PG,24.4,12.9,3.2,3.5,0.8,0.3,1.3,1.5,44.8,81.6
ATL,PF,24.2,11.7,5.4,2.1,0.6,0.7,1.2,1.1,46.9,85.3
PHX,C,24.2,10.4,6.7,2.0,0.7,0.7,1.5,0.5,56.6,77.6
GSW,SG,24.1,12.7,3.4,3.0,0.9,0.3,1.4,1.8,43.3,80.3
LAL,C,24.1,10.2,6.5,2.0,0.6,0.8,1.1,0.5,58.4,67.0
NOP,PG,24.1,11.9,2.8,4.3,0.8,0.3,1.8,1.5,43.8,80.2
UTA,SG,24.1,13.7,3.3,2.6,0.8,0.3,1.3,1.8,45.2,83.8
MIA,SG,24.0,12.7,3.5,3.1,0.8,0.3,1.7,2.0,44.8,78.3
WAS,PG,24.0,12.1,3.1,3.7,0.9,0.3,1.5,1.4,43.3,81.9
IND,PF,24.0,11.3,5.4,2.1,0.7,0.6,1.4,1.2,49.0,76.5
DET,C,23.9,10.2,6.7,1.6,0.5,1.0,1.3,0.4,57.5,72.2
MIN,SG,23.8,12.8,3.3,2.9,0.9,0.2,1.6,1.8,46.3,78.0
POR,PG,23.8,11.7,3.1,4.2,0.7,0.2,1.6,1.4,43.7,83.3
OKC,PF,23.7,11.3,5.4,1.8,0.6,0.8,1.4,1.1,47.6,78.6
MEM,PG,23.7,11.3,3.4,4.0,0.8,0.2,1.5,1.5,40.8,82.9
ATL,PG,23.7,11.4,3.2,4.1,0.9,0.3,1.6,1.2,43.5,81.7
HOU,PF,23.6,11.1,5.1,2.0,0.7,0.8,1.2,1.2,51.4,76.5
BOS,PG,23.6,12.5,3.0,3.4,0.8,0.3,1.4,1.5,45.2,83.7
MIA,SF,23.6,12.2,4.3,2.5,0.8,0.3,1.6,1.6,49.6,77.9
