TOMORROW,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
MIL Bucks,-8,O 237.5,−340,−110,−110
IND Pacers,+8,U 237.5,+280,−110,−110
MEM Grizzlies,-3,O 237.5,−155,−110,−110
MIN Timberwolves,+3,U 237.5,+135,−110,−110
ORL Magic,+7.5,,+235,−110,
MIA Heat,-7.5,,−280,−110,
CLE Cavaliers,-1,,−115,−110,
OKC Thunder,+1,,−105,−110,
TOR Raptors,+5.5,,+185,−110,
GS Warriors,-5.5,,−215,−110,
