,team1,team2,time,opening_spread_t1,opening_spread_t2,current_spread_t1,current_spread_t2,opening_moneyline_t1,opening_moneyline_t2,current_moneyline_t1,current_moneyline_t2
0,Detroit,Charlotte,16:00:00,+5.5,-5.5,+6.5,-6.5,+180,-238,+210,-250
1,Miami,Philadelphia,16:00:00,+6.5,-6.5,+6,-6,+210,-250,+196,-226
2,Boston,New York,16:30:00,-5,+5,-2,+2,-217,+165,-132,+112
