Away_Team,Home_Team,Away_PG,Away_SG,Away_SF,Away_PF,Away_C,Home_PG,Home_SG,Home_SF,Home_PF,Home_C,Away_Status,Home_Status
MIA,DET,Gabe Vincent  ,Tyler Herro  ,Max Strus  ,Jimmy Butler  , B. Adebayo GTD ,Killian Hayes  ,Jaden Ivey  ,Isaiah Livers  ,E. Omoruyi  , James Wiseman ,Expected Lineup             ,Expected Lineup             
CLE,ORL,D. Garland  ,D. Mitchell  ,Dean Wade  ,Evan Mobley  , Jarrett Allen ,M. Fultz  ,Gary Harris  ,Franz Wagner  ,P. Banchero  , W. Carter ,Expected Lineup             ,Expected Lineup             
MIL,WAS,Jrue Holiday  ,J. Carter GTD  ,P. Connaughton  ,G. Antetokounmpo  , Brook Lopez ,Delon Wright  ,Johnny Davis  ,Corey Kispert  ,Anthony Gill  , D. Gafford ,Expected Lineup             ,Expected Lineup             
TOR,CHA,Fred VanVleet  ,OG Anunoby GTD  ,S. Barnes  ,Pascal Siakam  , Jakob Poeltl ,D. Smith GTD  ,S. Mykhailiuk  ,B. McGowens  ,JT Thor  , Nick Richards ,Expected Lineup             ,Expected Lineup             
MIN,BKN,Mike Conley  ,A. Edwards  ,J. McDaniels  ,K. Towns GTD  , Rudy Gobert ,S. Dinwiddie  ,Mikal Bridges  ,C. Johnson  ,D. Finney-Smith  , Nic Claxton ,Expected Lineup             ,Expected Lineup             
SAC,NOP,De'Aaron Fox  ,Kevin Huerter  ,H. Barnes  ,Keegan Murray  , D. Sabonis ,CJ McCollum  ,Trey Murphy  ,B. Ingram  ,Herbert Jones  , J. Valanciunas ,Expected Lineup             ,Expected Lineup             
ATL,CHI,Trae Young GTD  ,D. Murray  ,Saddiq Bey  ,John Collins  , Clint Capela ,P. Beverley  ,A. Caruso GTD  ,Zach LaVine  ,DeMar DeRozan  , N. Vucevic ,Expected Lineup             ,Expected Lineup             
DEN,HOU,J. Murray GTD  ,K. Caldwell-Pope  ,M. Porter  ,Aaron Gordon  , N. Jokic GTD ,Kevin Porter  ,Jalen Green  ,Kenyon Martin  ,Jabari Smith  , A. Sengun ,Expected Lineup             ,Expected Lineup             
BOS,PHI,Marcus Smart  ,Derrick White  ,J. Brown GTD  ,Jayson Tatum  , Al Horford ,James Harden  ,Tyrese Maxey  ,Tobias Harris  ,P.J. Tucker  , Joel Embiid ,Expected Lineup             ,Expected Lineup             
POR,MEM,Skylar Mays  ,S. Sharpe  ,M. Thybulle GTD  ,T. Watford GTD  , Drew Eubanks ,Ja Morant  ,Desmond Bane  ,D. Brooks GTD  ,Jaren Jackson  , X. Tillman ,Expected Lineup             ,Expected Lineup             
LAL,UTA,D. Russell GTD  ,Austin Reaves  ,L. James GTD  ,J. Vanderbilt  , A. Davis GTD ,Collin Sexton  ,Ochai Agbaji  ,T. Horton-Tucker  ,Kelly Olynyk  , U. Azubuike ,Expected Lineup             ,Expected Lineup             
OKC,GSW,S. Gilgeous-Alexander  ,Josh Giddey  ,Luguentz Dort  ,J. Williams  , J. Williams ,Stephen Curry  ,Klay Thompson  ,D. DiVincenzo  ,D. Green  , Kevon Looney ,Expected Lineup             ,Expected Lineup             
SAS,PHX,Tre Jones  ,D. Graham  ,M. Branham  ,K. Bates-Diop  , Z. Collins GTD ,Chris Paul  ,Devin Booker  ,Josh Okogie  ,Kevin Durant  , Deandre Ayton ,Expected Lineup             ,Expected Lineup             
