,team1,team2,time,opening_spread_t1,opening_spread_t2,current_spread_t1,current_spread_t2,opening_moneyline_t1,opening_moneyline_t2,current_moneyline_t1,current_moneyline_t2
0,Orlando,Toronto,16:30:00,+6,-6,+6.5,-6.5,+180,-263,+215,-255
1,Boston,Milwaukee,16:30:00,+4,-4,+9.5,-9.5,+135,-185,+345,-425
2,Sacramento,Phoenix,18:00:00,+3.5,-3.5,+3.5,-3.5,+125,-172,+135,-155
3,Golden State,LA Clippers,19:00:00,+8,-8,+8.5,-8.5,+265,-333,+280,-350
