TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds
NY Knicks,-1.5,O 201.5−110,−115,−105
CLE Cavaliers,+1.5,U 201.5−120,−115,−125
GS Warriors,-1,O 237.5−110,−110,−105
SAC Kings,+1,U 237.5−110,−110,−115
