TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
MIA Heat,-5.5,O 227.5,−210,−110,−110
CHA Hornets,+5.5,U 227.5,+180,−110,−110
IND Pacers,+2.5,O 230.5,+120,−110,−110
ORL Magic,-2.5,U 230.5,−140,−110,−110
NO Pelicans,+3.5,O 224,+145,−105,−110
NY Knicks,-3.5,U 224,−170,−115,−110
DEN Nuggets,+2,O 235.5,+115,−105,−110
MEM Grizzlies,-2,U 235.5,−135,−115,−110
BOS Celtics,-1.5,O 225.5,−120,−110,−110
PHI 76ers,+1.5,U 225.5,+100,−110,−110
SA Spurs,+10.5,O 240.5,+400,−115,−110
UTA Jazz,-10.5,U 240.5,−500,−105,−110
