Away_Team,Home_Team,Away_PG,Away_SG,Away_SF,Away_PF,Away_C,Home_PG,Home_SG,Home_SF,Home_PF,Home_C,Away_Status,Home_Status
IND,BOS,T. Haliburton GTD  ,A. Nembhard  ,Buddy Hield  ,Aaron Nesmith  , Myles Turner ,Marcus Smart  ,Derrick White  ,Jaylen Brown  ,Jayson Tatum  , Al Horford ,Expected Lineup             ,Expected Lineup             
SAS,WAS,Tre Jones GTD  ,D. Vassell GTD  ,K. Johnson GTD  ,K. Bates-Diop  , Z. Collins GTD ,Monte Morris  ,Corey Kispert  ,Deni Avdija  ,K. Porzingis  , D. Gafford ,Expected Lineup             ,Expected Lineup             
DET,TOR,Killian Hayes  ,Jaden Ivey  ,I. Livers GTD  ,Marvin Bagley  , James Wiseman ,Fred VanVleet  ,OG Anunoby  ,S. Barnes GTD  ,Pascal Siakam  , Jakob Poeltl ,Expected Lineup             ,Expected Lineup             
HOU,MEM,Kevin Porter  ,Jalen Green  ,Kenyon Martin  ,Jabari Smith  , A. Sengun ,Tyus Jones  ,Desmond Bane  ,Dillon Brooks  ,Jaren Jackson  , X. Tillman ,Expected Lineup             ,Expected Lineup             
CHA,DAL,T. Rozier GTD  ,K. Oubre GTD  ,G. Hayward  ,P. Washington  , Nick Richards ,Luka Doncic  ,K. Irving GTD  ,Josh Green  ,R. Bullock  , Dwight Powell ,Expected Lineup             ,Expected Lineup             
MIL,UTA,Jrue Holiday  ,Grayson Allen  ,P. Connaughton  ,G. Antetokounmpo  , Brook Lopez ,T. Horton-Tucker  ,Ochai Agbaji  ,S. Fontecchio  ,Kelly Olynyk  , W. Kessler ,Expected Lineup             ,Expected Lineup             
PHI,GSW,J. Harden GTD  ,Tyrese Maxey  ,Tobias Harris  ,P.J. Tucker  , J. Embiid GTD ,Stephen Curry  ,Klay Thompson  ,D. DiVincenzo  ,D. Green  , Kevon Looney ,Expected Lineup             ,Expected Lineup             
CHI,POR,P. Beverley  ,A. Caruso GTD  ,Zach LaVine  ,D. DeRozan GTD  , N. Vucevic ,D. Lillard GTD  ,S. Sharpe  ,M. Thybulle  ,T. Watford  , J. Nurkic GTD ,Expected Lineup             ,Expected Lineup             
PHX,SAC,Chris Paul  ,Devin Booker  ,Josh Okogie  ,Torrey Craig  , B. Biyombo ,De'Aaron Fox  ,K. Huerter GTD  ,H. Barnes  ,Keegan Murray  , D. Sabonis ,Expected Lineup             ,Expected Lineup             
OKC,LAL,S. Gilgeous-Alexander  ,Josh Giddey  ,Luguentz Dort  ,J. Williams  , J. Williams ,D. Russell  ,Austin Reaves  ,Troy Brown  ,J. Vanderbilt  , A. Davis GTD ,Expected Lineup             ,Expected Lineup             
