TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
MIL Bucks,-11.5,O 237,−625,−110,−110
IND Pacers,+11.5,U 237,+470,−110,−110
DAL Mavericks,+4,O 231.5,+150,−110,−110
PHI 76ers,-4,U 231.5,−175,−110,−110
HOU Rockets,+10.5,O 229,+450,−105,−110
BKN Nets,-10.5,U 229,−600,−115,−110
MIA Heat,+5,O 223,+170,−110,−110
NY Knicks,-5,U 223,−200,−110,−110
LA Lakers,-2,O 227.5,−135,−115,−110
CHI Bulls,+2,U 227.5,+115,−105,−110
LA Clippers,+4,O 233.5,+150,−110,−115
MEM Grizzlies,-4,U 233.5,−175,−110,−105
DET Pistons,+11.5,O 231,+490,−110,−110
OKC Thunder,-11.5,U 231,−660,−110,−110
UTA Jazz,-5.5,O 235,−215,−110,−110
SA Spurs,+5.5,U 235,+185,−110,−110
SAC Kings,-13.5,O 235,−1050,−110,−110
POR Trail Blazers,+13.5,U 235,+700,−110,−110
MIN Timberwolves,+5.5,O 235.5,+180,−115,−110
PHO Suns,-5.5,U 235.5,−210,−105,−110
