TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
LA Clippers,+1.5,O 223,+105,−105,−110
DAL Mavericks,-1.5,U 223,−125,−115,−110
NO Pelicans,+7.5,O 218,+245,−110,−105
MIA Heat,-7.5,U 218,−295,−110,−115
NY Knicks,-1,O 221.5,−110,−110,−110
TOR Raptors,+1,U 221.5,−110,−110,−110
OKC Thunder,+5,O 239.5,+170,−105,−110
DEN Nuggets,-5,U 239.5,−200,−115,−110
MEM Grizzlies,-9,O 232.5,−425,−115,−115
PHO Suns,+9,U 232.5,+340,−105,−105
BKN Nets,+7.5,O 237,+255,−110,−105
GS Warriors,-7.5,U 237,−305,−110,−115
LA Lakers,+6,O 239,+190,−110,−110
POR Trail Blazers,-6,U 239,−225,−110,−110
