TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
PHO Suns,-10,O 229,−475,−110,−110
CHA Hornets,+10,U 229,+380,−110,−110
CHI Bulls,-6,O 222,−230,−110,−110
DET Pistons,+6,U 222,+195,−110,−110
CLE Cavaliers,+5,O 218.5,+175,−110,−110
BOS Celtics,-5,U 218.5,−205,−110,−110
BKN Nets,+7.5,O 223,+250,−110,−110
NY Knicks,-7.5,U 223,−300,−110,−110
PHI 76ers,-2,O 216,−130,−110,−110
MIA Heat,+2,U 216,+110,−110,−110
MEM Grizzlies,-10,O 230,−460,−105,−115
HOU Rockets,+10,U 230,+370,−115,−105
ORL Magic,+7,O 226,+240,−110,−110
MIL Bucks,-7,U 226,−285,−110,−110
LA Lakers,+1,O 229,−115,−115,−110
OKC Thunder,-1,U 229,−105,−105,−110
NO Pelicans,+1.5,O 233,+105,−105,−110
POR Trail Blazers,-1.5,U 233,−125,−115,−110
