Away_Team,Home_Team,Away_PG,Away_SG,Away_SF,Away_PF,Away_C,Home_PG,Home_SG,Home_SF,Home_PF,Home_C,Away_Status,Home_Status
DET,IND,Killian Hayes  ,Jaden Ivey  ,I. Livers GTD  ,M. Bagley GTD  , James Wiseman ,A. Nembhard  ,B. Mathurin  ,Aaron Nesmith  ,Jordan Nwora  , M. Turner GTD ,Expected Lineup             ,Expected Lineup             
MIA,WAS,Gabe Vincent  ,Tyler Herro  ,Max Strus  ,Jimmy Butler  , Bam Adebayo ,Delon Wright  ,Johnny Davis  ,Corey Kispert  ,Anthony Gill  , D. Gafford ,Expected Lineup             ,Expected Lineup             
HOU,CHA,Kevin Porter  ,Jalen Green  ,Kenyon Martin  ,Jabari Smith  , A. Sengun ,Theo Maledon  ,S. Mykhailiuk  ,B. McGowens  ,JT Thor  , M. Williams GTD ,Expected Lineup             ,Expected Lineup             
PHI,ATL,James Harden  ,T. Maxey GTD  ,Tobias Harris  ,P.J. Tucker  , D. Dedmon ,Trae Young  ,D. Murray  ,D. Hunter GTD  ,John Collins  , Clint Capela ,Expected Lineup             ,Expected Lineup             
TOR,BOS,Fred VanVleet  ,OG Anunoby  ,S. Barnes  ,Pascal Siakam  , Jakob Poeltl ,M. Smart GTD  ,D. White GTD  ,Jaylen Brown  ,Jayson Tatum  , Al Horford ,Expected Lineup             ,Expected Lineup             
ORL,BKN,Jalen Suggs  ,Caleb Houstan  ,Chuma Okeke  ,Bol Bol  , Goga Bitadze ,S. Dinwiddie  ,Mikal Bridges  ,C. Johnson  ,D. Finney-Smith GTD  , Nic Claxton ,Expected Lineup             ,Expected Lineup             
NYK,NOP,I. Quickley  ,Q. Grimes  ,RJ Barrett GTD  ,Obi Toppin  , M. Robinson ,CJ McCollum  ,Trey Murphy  ,B. Ingram  ,Herbert Jones  , J. Valanciunas ,Expected Lineup             ,Expected Lineup             
MEM,MIL,Ja Morant  ,Desmond Bane  ,Dillon Brooks  ,Jaren Jackson  , X. Tillman ,Jevon Carter  ,Joe Ingles  ,Jae Crowder  ,Bobby Portis  , M. Leonard ,Expected Lineup             ,Expected Lineup             
CHI,DAL,P. Beverley  ,A. Caruso GTD  ,Z. LaVine GTD  ,D. DeRozan GTD  , N. Vucevic ,L. Doncic GTD  ,K. Irving GTD  ,Tim Hardaway  ,R. Bullock  , Dwight Powell ,Expected Lineup             ,Expected Lineup             
GSW,SAC,Stephen Curry  ,Klay Thompson  ,Anthony Lamb  ,J. Kuminga  , D. Green ,D. Fox GTD  ,K. Huerter GTD  ,H. Barnes  ,K. Murray GTD  , D. Sabonis GTD ,Expected Lineup             ,Expected Lineup             
PHX,LAL,Chris Paul  ,Devin Booker  ,Josh Okogie  ,Kevin Durant  , Deandre Ayton ,D. Russell GTD  ,Austin Reaves  ,L. James GTD  ,J. Vanderbilt  , A. Davis GTD ,Expected Lineup             ,Expected Lineup             
