Away_Team,Home_Team,Away_PG,Away_SG,Away_SF,Away_PF,Away_C,Home_PG,Home_SG,Home_SF,Home_PF,Home_C,Away_Status,Home_Status
CHI,PHI,P. Beverley  ,A. Caruso GTD  ,Zach LaVine  ,DeMar DeRozan  , N. Vucevic ,James Harden  ,Tyrese Maxey  ,Tobias Harris  ,P. Tucker GTD  , Joel Embiid ,Expected Lineup             ,Expected Lineup             
IND,CHA,A. Nembhard  ,Buddy Hield  ,Aaron Nesmith  ,Jordan Nwora  , Myles Turner ,Terry Rozier  ,Kelly Oubre  ,G. Hayward  ,P. Washington  , Nick Richards ,Expected Lineup             ,Expected Lineup             
MIN,NYK,Mike Conley  ,A. Edwards GTD  ,J. McDaniels  ,Kyle Anderson  , R. Gobert GTD ,Jalen Brunson  ,Q. Grimes  ,RJ Barrett  ,Julius Randle  , M. Robinson ,Expected Lineup             ,Expected Lineup             
GSW,HOU,Stephen Curry  ,Klay Thompson  ,D. DiVincenzo  ,D. Green  , K. Looney GTD ,Kevin Porter  ,Jalen Green  ,Kenyon Martin  ,Jabari Smith  , A. Sengun ,Expected Lineup             ,Expected Lineup             
DAL,MEM,K. Irving GTD  ,Josh Green  ,R. Bullock  ,Maxi Kleber  , Dwight Powell ,Tyus Jones  ,Desmond Bane  ,Dillon Brooks  ,J. Jackson GTD  , X. Tillman ,Expected Lineup             ,Expected Lineup             
SAC,UTA,De'Aaron Fox  ,K. Huerter GTD  ,H. Barnes  ,Keegan Murray  , D. Sabonis ,T. Horton-Tucker  ,Ochai Agbaji  ,S. Fontecchio  ,Kelly Olynyk  , W. Kessler ,Expected Lineup             ,Expected Lineup             
