Away_Team,Home_Team,Away_PG,Away_SG,Away_SF,Away_PF,Away_C,Home_PG,Home_SG,Home_SF,Home_PF,Home_C,Away_Status,Home_Status
NYK,CLE,Jalen Brunson  ,Q. Grimes GTD  ,RJ Barrett  ,Julius Randle  , M. Robinson ,D. Garland  ,D. Mitchell  ,Caris LeVert  ,Evan Mobley  , Jarrett Allen ,Expected Lineup             ,Expected Lineup             
LAL,MEM,D. Russell  ,Austin Reaves  ,L. James GTD  ,J. Vanderbilt  , A. Davis GTD ,Ja Morant  ,Desmond Bane  ,Dillon Brooks  ,Jaren Jackson  , X. Tillman ,Expected Lineup             ,Expected Lineup             
MIA,MIL,Gabe Vincent  ,Max Strus  ,Jimmy Butler  ,Kevin Love  , B. Adebayo GTD ,Jrue Holiday  ,Grayson Allen  ,K. Middleton  ,G. Antetokounmpo GTD  , Brook Lopez ,Expected Lineup             ,Expected Lineup             
GSW,SAC,Stephen Curry  ,Jordan Poole  ,Klay Thompson  ,A. Wiggins  , Kevon Looney ,D. Fox GTD  ,Kevin Huerter  ,H. Barnes  ,Keegan Murray  , D. Sabonis ,Expected Lineup             ,Expected Lineup             
