TEAM,POS,FPTS ALLOWED,PTS,REB,AST,STL,BLK,TO,3PM,FG%,FT%
SAS,PG,27.1,13.9,3.2,4.2,1.1,0.3,1.5,1.7,49.1,83.6
MIN,PG,26.9,13.5,3.6,4.3,0.9,0.2,1.8,1.6,44.4,80.3
HOU,PG,26.1,13.1,2.7,4.3,1.1,0.3,1.4,1.8,44.2,83.4
GSW,PG,25.9,13.0,3.3,4.2,0.9,0.3,1.7,1.6,44.5,80.9
CHA,C,25.8,10.8,6.9,2.0,0.6,1.1,1.3,0.6,53.5,74.7
ATL,C,25.7,11.5,6.9,1.8,0.6,0.8,1.4,0.6,59.3,77.0
LAL,PG,25.5,13.4,2.9,4.0,0.9,0.3,1.6,1.5,45.1,82.1
OKC,PG,25.5,13.2,3.0,4.1,0.9,0.3,1.9,1.7,43.7,82.9
CHI,PG,25.3,12.5,3.4,4.2,0.8,0.3,1.8,1.7,43.7,84.2
TOR,PG,25.3,12.6,3.2,4.4,0.8,0.3,2.1,1.5,47.0,83.6
BKN,PG,25.1,12.7,3.3,3.8,1.0,0.2,1.5,1.6,44.2,84.9
DEN,PG,25.1,12.9,2.8,4.4,0.7,0.2,1.6,1.5,45.3,82.9
DET,PG,25.1,12.4,3.0,4.0,1.0,0.3,1.4,1.5,45.3,81.8
SAC,PG,24.9,12.8,3.0,4.0,0.9,0.2,1.6,1.5,46.1,84.9
IND,PG,24.8,12.7,3.1,3.8,0.9,0.3,1.6,1.6,43.0,85.7
WAS,PG,24.8,12.8,3.2,3.8,0.8,0.3,1.5,1.5,43.9,83.2
SAS,C,24.8,10.9,6.5,1.8,0.6,0.9,1.3,0.5,57.2,69.9
POR,PG,24.7,12.2,3.1,4.3,0.8,0.2,1.6,1.5,45.3,85.1
BKN,SG,24.6,13.6,3.3,2.7,0.8,0.3,1.3,2.1,45.9,79.9
MIL,PG,24.6,13.0,3.3,3.6,0.8,0.2,1.3,1.4,44.1,82.8
UTA,PG,24.6,12.9,3.1,3.6,0.8,0.3,1.5,1.5,45.6,80.1
CHI,SG,24.5,12.9,3.5,3.1,0.8,0.4,1.5,2.0,44.3,81.9
UTA,SG,24.5,13.6,3.4,2.7,0.8,0.3,1.2,1.7,44.6,83.0
SAC,SG,24.5,13.5,3.2,2.8,1.0,0.3,1.5,1.8,47.4,80.3
GSW,C,24.4,10.7,6.6,2.0,0.6,0.7,1.5,0.6,54.4,71.4
