,team1,team2,time,opening_spread_t1,opening_spread_t2,current_spread_t1,current_spread_t2,opening_moneyline_t1,opening_moneyline_t2,current_moneyline_t1,current_moneyline_t2
0,Chicago,Detroit,12:00:00,-6,+6,-7.5,+7.5,-263,+180,-285,+240
1,Golden State,Boston,16:30:00,+5,-5,+6.5,-6.5,+165,-233,+215,-255
2,Toronto,Minnesota,17:00:00,-2.5,+2.5,-5,+5,-152,+115,-190,+165
3,Brooklyn,Phoenix,19:00:00,-1.5,+1.5,-1.5,+1.5,-135,+110,-128,+108
