Away_Team,Home_Team,Away_PG,Away_SG,Away_SF,Away_PF,Away_C,Home_PG,Home_SG,Home_SF,Home_PF,Home_C,Away_Status,Home_Status
OKC,IND,Josh Giddey  ,Isaiah Joe  ,Luguentz Dort  ,J. Williams  , J. Williams ,A. Nembhard  ,B. Mathurin  ,Buddy Hield  ,Aaron Nesmith  , M. Turner GTD ,Expected Lineup             ,Expected Lineup             
TOR,PHI,Fred VanVleet  ,OG Anunoby  ,S. Barnes  ,Pascal Siakam  , Jakob Poeltl ,James Harden  ,Tyrese Maxey  ,Tobias Harris  ,P.J. Tucker  , D. Dedmon ,Expected Lineup             ,Expected Lineup             
ORL,WAS,M. Fultz  ,Gary Harris  ,Franz Wagner  ,P. Banchero  , W. Carter ,Monte Morris  ,Corey Kispert  ,Deni Avdija  ,K. Porzingis  , D. Gafford GTD ,Expected Lineup             ,Expected Lineup             
CHI,CHA,P. Beverley  ,A. Caruso GTD  ,Zach LaVine  ,DeMar DeRozan  , N. Vucevic ,D. Smith GTD  ,S. Mykhailiuk  ,K. Oubre GTD  ,P. Washington  , Mark Williams ,Expected Lineup             ,Expected Lineup             
UTA,BOS,T. Horton-Tucker  ,Ochai Agbaji  ,S. Fontecchio  ,K. Olynyk GTD  , W. Kessler ,Marcus Smart  ,Derrick White  ,Jaylen Brown  ,Jayson Tatum  , Al Horford ,Expected Lineup             ,Expected Lineup             
NYK,CLE,Jalen Brunson  ,Q. Grimes  ,RJ Barrett  ,Obi Toppin  , M. Robinson ,D. Garland  ,D. Mitchell  ,Caris LeVert  ,Lamar Stevens  , Evan Mobley ,Expected Lineup             ,Expected Lineup             
ATL,BKN,Trae Young  ,D. Murray  ,D. Hunter GTD  ,John Collins  , Clint Capela ,S. Dinwiddie  ,Mikal Bridges  ,C. Johnson  ,D. Finney-Smith  , Nic Claxton ,Expected Lineup             ,Expected Lineup             
DET,HOU,K. Hayes GTD  ,Jaden Ivey  ,Isaiah Livers  ,Marvin Bagley  , James Wiseman ,Kevin Porter  ,Jalen Green  ,K. Martin GTD  ,Jabari Smith  , A. Sengun ,Expected Lineup             ,Expected Lineup             
LAL,MIN,D. Schroder  ,Austin Reaves  ,L. James GTD  ,J. Vanderbilt  , A. Davis GTD ,Mike Conley  ,A. Edwards GTD  ,J. McDaniels  ,K. Towns GTD  , Rudy Gobert ,Expected Lineup             ,Expected Lineup             
LAC,MEM,R. Westbrook  ,Eric Gordon  ,K. Leonard GTD  ,Nicolas Batum  , Ivica Zubac ,Ja Morant  ,Desmond Bane  ,Dillon Brooks  ,Jaren Jackson  , X. Tillman ,Expected Lineup             ,Expected Lineup             
SAS,GSW,Tre Jones  ,D. Vassell GTD  ,K. Johnson GTD  ,K. Bates-Diop  , S. Mamukelashvili ,Stephen Curry  ,Klay Thompson  ,D. DiVincenzo  ,J. Kuminga  , D. Green ,Expected Lineup             ,Expected Lineup             
SAC,POR,De'Aaron Fox  ,Kevin Huerter  ,H. Barnes  ,Keegan Murray  , D. Sabonis ,S. Sharpe  ,M. Thybulle  ,Kevin Knox  ,Nassir Little  , Drew Eubanks ,Expected Lineup             ,Expected Lineup             
DEN,PHX,Bruce Brown  ,K. Caldwell-Pope  ,M. Porter  ,Aaron Gordon  , N. Jokic GTD ,Chris Paul  ,Devin Booker  ,Josh Okogie  ,Kevin Durant  , Deandre Ayton ,Expected Lineup             ,Expected Lineup             
