TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
PHI 76ers,-2.5,O 222.5,−145,−115,−110
CLE Cavaliers,+2.5,U 222.5,+125,−105,−110
MEM Grizzlies,+4,O 220,+150,−105,−110
MIA Heat,-4,U 220,−175,−115,−110
BOS Celtics,-5,O 233,−200,−110,−110
MIN Timberwolves,+5,U 233,+170,−110,−110
SAC Kings,pk,O 236,−110,−110,−110
CHI Bulls,pk,U 236,−110,−110,−110
LA Lakers,-3,O 231,−165,−120,−110
HOU Rockets,+3,U 231,+140,+100,−110
DAL Mavericks,-5,O 227,−200,−110,−110
SA Spurs,+5,U 227,+170,−110,−110
GS Warriors,+3,O 237,+125,−110,−110
LA Clippers,-3,U 237,−145,−110,−110
