TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds
SAC Kings,+7.5,O 235−110,+255,−110
GS Warriors,-7.5,U 235−110,−305,−110
MEM Grizzlies,+4.5,O 219.5−110,+170,−110
LA Lakers,-4.5,U 219.5−110,−200,−110
