TOMORROW,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
POR Trail Blazers,+4,,+150,−105,
WAS Wizards,-4,,−175,−115,
CHA Hornets,+1.5,O 241,+100,−110,−110
DET Pistons,-1.5,U 241,−120,−110,−110
SAC Kings,-3,,−150,−110,
IND Pacers,+3,,+130,−110,
PHO Suns,+9.5,O 225,+360,−110,−110
BOS Celtics,-9.5,U 225,−450,−110,−110
PHI 76ers,-9,,−425,−110,
SA Spurs,+9,,+340,−110,
ORL Magic,+5.5,,+185,−110,
MIN Timberwolves,-5.5,,−215,−110,
TOR Raptors,-6,,−245,−110,
HOU Rockets,+6,,+205,−110,
ATL Hawks,+1.5,O 240.5,+105,−105,−110
UTA Jazz,-1.5,U 240.5,−125,−115,−110
