Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa,C,23,TOR,48,1010,14.2,.541,.251,.345,9.2,23.5,15.8,6.5,1.3,2.6,11.9,18.8,,0.5,1.2,1.7,.080,,-2.1,-0.8,-2.9,-0.2
2,Steven Adams,C,29,MEM,42,1133,17.6,.564,.004,.490,20.0,25.2,22.7,11.2,1.5,3.7,19.8,14.6,,1.3,2.1,3.4,.145,,-0.3,0.9,0.6,0.7
3,Bam Adebayo,C,25,MIA,70,2463,20.1,.594,.011,.363,7.8,23.6,15.4,16.2,1.7,2.5,12.9,25.5,,3.3,3.6,7.0,.136,,0.7,0.8,1.5,2.2
4,Ochai Agbaji,SG,22,UTA,52,996,9.3,.584,.633,.166,4.1,7.0,5.5,6.3,0.7,0.9,9.0,14.0,,0.9,0.3,1.2,.060,,-1.6,-1.4,-3.0,-0.2
5,Santi Aldama,PF,22,MEM,71,1561,13.9,.588,.520,.267,5.2,17.4,11.4,7.5,1.2,2.6,8.7,15.9,,2.0,2.3,4.3,.132,,-0.3,0.8,0.5,1.0
6,Nickeil Alexander-Walker,SG,24,TOT,53,822,11.4,.560,.529,.208,1.8,11.0,6.4,17.1,1.7,2.0,15.1,18.0,,0.2,0.7,1.0,.056,,-1.5,0.4,-1.1,0.2
6,Nickeil Alexander-Walker,SG,24,UTA,36,528,13.0,.609,.512,.229,1.7,10.4,6.1,20.1,2.2,2.2,19.4,18.4,,0.3,0.5,0.8,.073,,-0.6,1.1,0.5,0.3
6,Nickeil Alexander-Walker,SG,24,MIN,17,294,8.5,.478,.558,.173,1.9,12.0,7.1,11.7,1.0,1.5,6.7,17.4,,-0.1,0.2,0.2,.025,,-3.1,-0.8,-3.9,-0.1
7,Grayson Allen,SG,27,MIL,69,1904,12.5,.616,.658,.229,3.4,8.8,6.2,11.1,1.5,0.6,10.7,14.9,,2.8,2.3,5.1,.129,,-0.5,0.7,0.3,1.1
8,Jarrett Allen,C,24,CLE,65,2148,20.0,.672,.015,.357,11.7,23.9,17.8,7.5,1.2,3.5,11.4,16.4,,5.4,3.9,9.3,.208,,1.4,1.1,2.5,2.4
9,Jose Alvarado,PG,24,NOP,61,1310,11.9,.525,.505,.164,2.4,9.8,6.1,19.8,2.5,0.7,13.4,19.8,,0.1,1.7,1.8,.066,,-2.0,0.7,-1.2,0.3
10,Kyle Anderson,PF,29,MIN,63,1769,14.9,.585,.214,.307,3.8,17.1,10.6,22.5,2.0,2.7,15.6,14.4,,2.3,2.3,4.7,.127,,0.2,2.3,2.5,2.0
11,Giannis Antetokounmpo,PF,28,MIL,59,1901,28.8,.604,.138,.604,7.4,29.4,18.9,32.5,1.2,2.0,13.1,38.7,,4.5,3.6,8.2,.206,,5.7,2.7,8.4,5.0
12,Thanasis Antetokounmpo,SF,30,MIL,31,128,4.4,.393,.185,.296,8.4,16.3,12.5,6.8,1.1,1.9,24.7,13.3,,-0.2,0.2,-0.1,-0.022,,-7.9,-0.4,-8.3,-0.2
13,Cole Anthony,PG,22,ORL,55,1412,15.9,.567,.339,.288,3.4,17.3,10.3,22.6,1.2,2.0,11.3,21.5,,1.9,1.5,3.4,.115,,0.7,0.4,1.1,1.1
14,OG Anunoby,SF,25,TOR,61,2171,14.5,.585,.405,.205,4.3,12.6,8.1,7.7,2.7,2.0,12.7,19.7,,1.4,2.6,4.0,.088,,-0.6,0.7,0.1,1.2
15,Ryan Arcidiacono,PG,28,TOT,20,172,2.7,.351,.622,.000,0.0,9.9,5.0,17.0,1.4,0.0,15.9,11.1,,-0.2,0.1,-0.1,-0.039,,-7.3,-1.4,-8.7,-0.3
15,Ryan Arcidiacono,PG,28,NYK,11,26,3.1,.300,.600,.000,0.0,16.8,8.4,9.4,3.8,0.0,16.7,9.9,,0.0,0.0,0.0,-0.011,,-9.0,3.8,-5.2,0.0
15,Ryan Arcidiacono,PG,28,POR,9,146,2.7,.359,.625,.000,0.0,8.7,4.4,18.4,1.0,0.0,15.8,11.4,,-0.2,0.0,-0.1,-0.044,,-7.0,-2.4,-9.3,-0.3
16,Deni Avdija,SF,22,WAS,73,1918,11.5,.539,.403,.287,4.5,22.0,13.6,13.8,1.6,1.2,15.3,16.4,,0.3,2.2,2.5,.062,,-2.6,0.5,-2.1,0.0
17,Deandre Ayton,C,24,PHO,62,1887,20.2,.616,.029,.221,9.4,28.1,18.5,9.6,0.9,2.3,10.9,23.3,,3.1,2.7,5.8,.148,,1.2,-0.1,1.1,1.5
18,Udoka Azubuike,C,23,UTA,30,218,17.7,.731,.000,.340,12.1,28.1,20.1,5.2,1.3,4.6,20.6,13.0,,0.3,0.3,0.6,.132,,-0.8,0.7,-0.1,0.1
