TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
LA Lakers,+1.5,O 232.5,+100,−110,−110
NO Pelicans,-1.5,U 232.5,−120,−110,−110
WAS Wizards,+3,O 229,+125,−110,−105
BKN Nets,-3,U 229,−145,−110,−115
LA Clippers,-3.5,O 219.5,−155,−110,−110
NY Knicks,+3.5,U 219.5,+135,−110,−110
PHO Suns,-4.5,O 227,−180,−110,−110
DET Pistons,+4.5,U 227,+155,−110,−110
POR Trail Blazers,+4.5,O 234.5,+155,−115,−110
CHI Bulls,-4.5,U 234.5,−180,−105,−110
MIA Heat,+5,O 222.5,+170,−110,−110
MIL Bucks,-5,U 222.5,−200,−110,−110
HOU Rockets,+10,O 231.5,+360,−110,−110
OKC Thunder,-10,U 231.5,−450,−110,−110
DAL Mavericks,+10,O 226,+370,−110,−110
GS Warriors,-10,U 226,−460,−110,−110
ATL Hawks,+6,O 234,+205,−110,−110
DEN Nuggets,-6,U 234,−245,−110,−110
