,team1,team2,time,opening_spread_t1,opening_spread_t2,current_spread_t1,current_spread_t2,opening_moneyline_t1,opening_moneyline_t2,current_moneyline_t1,current_moneyline_t2
0,Cleveland,Charlotte,16:00:00,-8.5,+8.5,-6,+6,-400,+290,-228,+198
1,Detroit,Washington,16:00:00,+11,-11,+12,-12,+450,-769,+520,-700
2,Denver,Toronto,16:30:00,-2,+2,+1,-1,-135,+110,+100,-120
3,Brooklyn,Oklahoma City,17:00:00,+1.5,-1.5,+1.5,-1.5,-111,-111,+105,-125
4,LA Lakers,New Orleans,17:00:00,+1.5,-1.5,Ev,Ev,+104,-122,-107,-113
5,Orlando,San Antonio,17:00:00,-5.5,+5.5,-5,+5,-217,+185,-210,+180
6,Milwaukee,Phoenix,19:00:00,-1.5,+1.5,-1.5,+1.5,-122,+104,-125,+105
