Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
2023-01-04,7:00p,Indiana Pacers,126.0,Philadelphia 76ers,129.0,Box Score,OT,20033.0,Wells Fargo Center,
2023-01-04,7:30p,San Antonio Spurs,114.0,New York Knicks,117.0,Box Score,,19812.0,Madison Square Garden (IV),
2023-01-04,7:30p,Milwaukee Bucks,104.0,Toronto Raptors,101.0,Box Score,OT,19800.0,Scotiabank Arena,
2023-01-04,8:00p,Brooklyn Nets,112.0,Chicago Bulls,121.0,Box Score,,21418.0,United Center,
2023-01-04,8:00p,Portland Trail Blazers,106.0,Minnesota Timberwolves,113.0,Box Score,,15434.0,Target Center,
2023-01-04,8:00p,Houston Rockets,108.0,New Orleans Pelicans,119.0,Box Score,,17295.0,Smoothie King Center,
2023-01-04,10:00p,Detroit Pistons,122.0,Golden State Warriors,119.0,Box Score,,18064.0,Chase Center,
2023-01-04,10:00p,Miami Heat,109.0,Los Angeles Lakers,112.0,Box Score,,18997.0,Crypto.com Arena,
2023-01-04,10:00p,Atlanta Hawks,120.0,Sacramento Kings,117.0,Box Score,,17611.0,Golden 1 Center,
2023-01-05,7:00p,Memphis Grizzlies,123.0,Orlando Magic,115.0,Box Score,,19184.0,Amway Center,
2023-01-05,7:30p,Boston Celtics,124.0,Dallas Mavericks,95.0,Box Score,,20413.0,American Airlines Center,
2023-01-05,8:00p,Utah Jazz,131.0,Houston Rockets,114.0,Box Score,,16320.0,Toyota Center,
2023-01-05,10:00p,Los Angeles Clippers,91.0,Denver Nuggets,122.0,Box Score,,19087.0,Ball Arena,
2023-01-06,7:00p,Portland Trail Blazers,99.0,Indiana Pacers,108.0,Box Score,,16548.0,Gainbridge Fieldhouse,
2023-01-06,7:00p,Chicago Bulls,126.0,Philadelphia 76ers,112.0,Box Score,,20766.0,Wells Fargo Center,
2023-01-06,7:30p,Brooklyn Nets,108.0,New Orleans Pelicans,102.0,Box Score,,,Smoothie King Center,
2023-01-06,7:30p,New York Knicks,112.0,Toronto Raptors,108.0,Box Score,,19800.0,Scotiabank Arena,
2023-01-06,8:00p,Charlotte Hornets,138.0,Milwaukee Bucks,109.0,Box Score,,17627.0,Fiserv Forum,
2023-01-06,8:00p,Washington Wizards,110.0,Oklahoma City Thunder,127.0,Box Score,,14790.0,Paycom Center,
2023-01-06,8:00p,Detroit Pistons,109.0,San Antonio Spurs,121.0,Box Score,,13107.0,AT&T Center,
2023-01-06,9:00p,Cleveland Cavaliers,108.0,Denver Nuggets,121.0,Box Score,,19638.0,Ball Arena,
2023-01-06,9:00p,Los Angeles Clippers,115.0,Minnesota Timberwolves,128.0,Box Score,,17136.0,Target Center,
2023-01-06,10:00p,Miami Heat,104.0,Phoenix Suns,96.0,Box Score,,17071.0,Footprint Center,
2023-01-06,10:30p,Atlanta Hawks,114.0,Los Angeles Lakers,130.0,Box Score,,18997.0,Crypto.com Arena,
2023-01-07,6:00p,Boston Celtics,121.0,San Antonio Spurs,116.0,Box Score,,18354.0,AT&T Center,
2023-01-07,8:00p,Utah Jazz,118.0,Chicago Bulls,126.0,Box Score,,21694.0,United Center,
2023-01-07,8:00p,New Orleans Pelicans,117.0,Dallas Mavericks,127.0,Box Score,,20300.0,American Airlines Center,
2023-01-07,8:30p,Orlando Magic,115.0,Golden State Warriors,101.0,Box Score,,18064.0,Chase Center,
2023-01-07,10:00p,Los Angeles Lakers,136.0,Sacramento Kings,134.0,Box Score,,17611.0,Golden 1 Center,
2023-01-08,3:00p,Philadelphia 76ers,123.0,Detroit Pistons,111.0,Box Score,,18898.0,Little Caesars Arena,
2023-01-08,3:30p,Portland Trail Blazers,105.0,Toronto Raptors,117.0,Box Score,,19800.0,Scotiabank Arena,
2023-01-08,5:00p,Charlotte Hornets,111.0,Indiana Pacers,116.0,Box Score,,15805.0,Gainbridge Fieldhouse,
2023-01-08,6:00p,Utah Jazz,118.0,Memphis Grizzlies,123.0,Box Score,,17794.0,FedEx Forum,
2023-01-08,6:00p,Brooklyn Nets,102.0,Miami Heat,101.0,Box Score,,19901.0,FTX Arena,
2023-01-08,7:00p,Minnesota Timberwolves,104.0,Houston Rockets,96.0,Box Score,,18055.0,Toyota Center,
2023-01-08,7:00p,Dallas Mavericks,109.0,Oklahoma City Thunder,120.0,Box Score,,16317.0,Paycom Center,
2023-01-08,8:00p,Cleveland Cavaliers,112.0,Phoenix Suns,98.0,Box Score,,17071.0,Footprint Center,
2023-01-08,9:00p,Atlanta Hawks,112.0,Los Angeles Clippers,108.0,Box Score,,19068.0,Crypto.com Arena,
2023-01-09,7:00p,New Orleans Pelicans,,Washington Wizards,,,,,Capital One Arena,
